ID,原文案,对白,时长(s),角色,场景,Sora 提示词
"95","谢大小姐，我目光大亮，宋家的珍宝全放在府库。","谢大小姐","4","","请输入环宏伟的盛唐园林景观。白雪覆盖的朱红长廊蜿蜒穿过庭院，廊柱上镶嵌着暗金色的云纹铜饰。院中心是一个半冻结的汉白玉景观池，池畔矗立着形态怪异的太湖石与披满银霜的百年古松。一排排巨大的红色灯笼悬挂在飞檐下，洒下暖橙色的光晕。地面是规整的青石方砖，厚厚的积雪上留有一串孤寂的脚印。高饱和度的红墙与冷蓝色的雪夜形成鲜明视觉对比。境视觉描述...","Shot 1:
duration: 4.5sec
Scene: [Extreme Close Up, Crash Zoom] 镜头瞬间极速推近至楚政的双眼。巨大红灯笼的暖橙色光晕在积雪漫反射下，映照在楚政的眉眼轮廓上。楚政猛地抬起头，瞳孔骤然急剧放大。伴随这猛烈的动作，几片细碎的雪花从发丝间震落，在半空缓缓飘过镜头。在楚政漆黑放大的瞳孔深处，倒映出的灯笼微光瞬间扭曲变幻，爆发出刺目骇人的暗金色耀眼光芒，犹如眼底燃烧着堆积如山的金色宝藏。极短暂的爆发后，楚政迅速眨眼并微微垂下视线，长睫毛在眼窝投下深沉的阴影，将极致的狂热与野心瞬间收敛隐藏。音效: Sudden heavy low-frequency cinematic boom, rapid camera swoosh, subtle metallic shimmering sound."
"96","次日天刚亮，我就迫不及待前往府库。","","3","","请输入环宏伟的盛唐园林景观。白雪覆盖的朱红长廊蜿蜒穿过庭院，廊柱上镶嵌着暗金色的云纹铜饰。院中心是一个半冻结的汉白玉景观池，池畔矗立着形态怪异的太湖石与披满银霜的百年古松。一排排巨大的红色灯笼悬挂在飞檐下，洒下暖橙色的光晕。地面是规整的青石方砖，厚厚的积雪上留有一串孤寂的脚印。高饱和度的红墙与冷蓝色的雪夜形成鲜明视觉对比。境视觉描述...","Shot 1:
duration: 5.0sec
Scene: [Medium Shot, Tracking Shot] 清晨的冷蓝色薄雾弥漫在宏伟的盛唐园林中，白雪覆盖的朱红长廊蜿蜒穿过庭院。楚政在长廊中大步流星地快速穿行，镜头在侧面紧密跟拍。长廊两侧的廊柱镶嵌着暗金色的云纹铜饰，飞檐下悬挂的巨大红色灯笼洒下微弱的暖橙色光晕。楚政的衣摆随着急促稳健的步伐在干冷的空气中向后猛烈翻飞，皮靴踩在青石方砖的积雪上，踢起细碎的冰雪微粒。音效：快速有力的踩雪脚步声，衣物摩擦声，轻快紧凑的鼓点配乐。

Shot 2:
duration: 4.0sec
Scene: [Over-the-shoulder Shot, Push In] 镜头跟随楚政的背影在长廊中向前快速推进。穿过半冻结的汉白玉景观池与披满银霜的百年古松，前方走廊尽头赫然出现一扇防守森严的巨大铜门。铜门在晨曦的照射下泛着耀眼夺目的暖金色光芒，与周围冷蓝色的雪雾环境形成极具冲击力的冷暖对比。楚政行进带起的疾风卷动地面的积雪，暖金色的光线在冷雾中折射出清晰的光束。音效：急促踏实的脚步声，寒风吹过松枝的轻啸声，鼓点节奏急剧加快。"
"97","怎料路过大门时，耳边突然响起轰鸣巨响。","","3","","广阔的矩形石砌广场，作为通向府库大门的过渡空间。广场两侧排列着整齐的朱红木柱长廊，展现出宏大的唐式斗拱结构。地面铺设着平整的黑漆磨光方砖，倒映着两侧高耸的古铜色灯架发出的橙色火光。地砖缝隙中凝结着晶莹的白色寒霜，广场边缘堆积着半透明的残雪。广场中心矗立着一座巨大的三足青铜鼎，正升腾着笔直的灰白色烟气。背景是高耸的深灰色砖墙，墙头覆盖着厚厚的积雪。天空呈现深邃的宝蓝色，月光如银纱般洒在汉白玉石阶上。冷色的月光与暖色的火光在画面中产生强烈的视觉对比，氛围静谧、庄重且充满肃杀感。请输入环境视觉描述...","Shot 1:
duration: 3.0sec
Scene: [Medium Shot, Tracking Shot] 宝蓝色天空下，冷色月光与古铜色灯架的橙色火光在黑漆方砖上交织。楚政步伐急促地走入广阔的矩形石砌广场，鞋底踩过地砖缝隙的寒霜。广场中心的青铜鼎正升腾着笔直的灰白色烟气，四周静谧庄重。音效: Footsteps on cold stone.

Shot 2:
duration: 4.5sec
Scene: [Full Shot, Camera Shake] 剧烈的低频音效猛然爆发，画面伴随大地震颤而剧烈抖动。楚政的脚步戛然而止，身体因冲击波微微后倾。唐式长廊屋檐上的积雪与灰尘纷纷震落，几只晨鸟惊恐地振翅飞入深邃的天空，青铜鼎上笔直的烟气瞬间被无形的气浪扯碎。音效: Deafening explosion, low-frequency rumble, birds flapping wings, debris falling."
"98","可不知为何，我明明十分好奇，却偏偏头也不回的赶往府库，不必要的好奇只会惹来麻烦，这种情况还是少过问为妙。","","8","","广阔的矩形石砌广场，作为通向府库大门的过渡空间。广场两侧排列着整齐的朱红木柱长廊，展现出宏大的唐式斗拱结构。地面铺设着平整的黑漆磨光方砖，倒映着两侧高耸的古铜色灯架发出的橙色火光。地砖缝隙中凝结着晶莹的白色寒霜，广场边缘堆积着半透明的残雪。广场中心矗立着一座巨大的三足青铜鼎，正升腾着笔直的灰白色烟气。背景是高耸的深灰色砖墙，墙头覆盖着厚厚的积雪。天空呈现深邃的宝蓝色，月光如银纱般洒在汉白玉石阶上。冷色的月光与暖色的火光在画面中产生强烈的视觉对比，氛围静谧、庄重且充满肃杀感。请输入环境视觉描述...","Shot 1:
duration: 6.0sec
Scene: [Medium Shot, Profile Tracking Shot] 深邃宝蓝色夜空下的矩形石砌广场，冷色月光与灯架的暖色火光交织。镜头焦点紧紧锁定楚政的侧脸，背景大门方向处于极度虚化状态，隐约可见冲天的红橙色火光与剧烈翻涌的灰暗烟尘。楚政面沉如水，视线如刀般死死钉在正前方，完全没有任何向后张望的细微动作。他抬起右手用力拉高衣领，将下半张脸埋入阴影中，双腿加快频率大步迈进。硬底靴急速踏过铺满白色寒霜的黑漆磨光方砖，踩碎冰晶四散飞溅，急促的步伐带动衣摆在冷空气中剧烈翻飞。背景的爆炸火光在他冷峻的侧脸边缘勾勒出一道跳跃的橙红色轮廓光。音效: Quick heavy footsteps crunching on frost, fabric whipping in the cold air, distant muffled explosions and chaotic crowd shouting."
"99","果不其然，当我刚来到府库，前院就突然传来一个意外的消息，宋府搭起了擂台，宋绫雪要与人比武了。","","7","","幽暗的石砌空间，塞满了漆木宝箱。成堆的金色元宝和银锭散发着冷光。侧边多宝格上陈列着晶莹剔透的玉盏和古老卷轴。一道冷光从高处的通风口射入，照亮了空气中漂浮的细微尘埃。请输入环境视觉描述...","Shot 1:
duration: 4.0sec
Scene: [Medium Shot, Dolly In] 昏暗的府库门前，空气沉闷，沉重巨大的木门上布满厚厚的灰尘。楚政双手按在门板上，用力推开这扇大门。随着门缝逐渐开大，门轴震动导致积灰簌簌落下，外面的强光从门外透入。音效: Heavy wooden door creaking, distant crowd shouting and murmuring.

Shot 2:
duration: 4.5sec
Scene: [Wide Shot, Pan Right] 幽暗的石砌空间内部，塞满漆木宝箱与破损的古董法器，成堆的金银元宝散发着冷光，高处通风口射入一道冷光，照亮空气中漂浮的细微尘埃。楚政毫不理会外面的动静，迅速闪身进入府库，反手将厚重的木门重重关上。大门猛烈闭合带起一阵强烈的气流，卷动光束中的尘埃剧烈翻滚，瞬间切断了外部的光线与喧闹。音效: Loud wooden door slamming, sudden silence echoing in the stone room."
"100","原来一个时辰前，广云王带着儿子赵继昌来联姻，本以为能靠权势逼迫宋家。","","5","","宏大的唐式建筑内景。朱红色漆木大柱，房梁满布彩绘。大厅中央是一张红木圆桌，摆放着越窑青瓷。背景是巨大的淡墨山水屏风。数十盏红色落地宫灯洒下暖橙色灯光，与地面黑色大理石的倒影相映。请输入环境视觉描述...","Shot 1:
duration: 2.5sec
Scene: [Whip Pan, Wide Shot] 画面伴随强烈的白场闪光进行快速回扫，边缘带有轻微模糊。宏大的唐式建筑内景中，数十盏红色落地宫灯洒下暖橙色光芒。广云王与身穿华丽红金蟒袍的赵继昌大步踏入大厅右侧，一队红甲卫兵紧随其后。沉重的金属战靴踏在黑色大理石地面上，激起气流涡旋，红色披风在空中扬起一道充满压迫感的弧线。音效: Whoosh, heavy metal footsteps, armor clanking.

Shot 2:
duration: 5.0sec
Scene: [Wide Shot, Slow Push-in] 镜头在极具对称性的构图中缓慢向前推进。大厅中央摆放着红木圆桌与越窑青瓷，背景是巨大的淡墨山水屏风。画面右侧，广云王与赵继昌在暖红金色的光影中傲然挺立，赵继昌微微仰头姿态跋扈，红甲卫兵持戈列阵，红色的盔甲倒影在黑色大理石地面上如血液般向左侧蔓延；画面左侧，宋通海与宋家人站在冰冷的冷色调光线中，身体僵直。赵继昌的蟒袍金线在灯光下折射出刺目的反光，宋通海紧握的双拳导致宽大的衣袖发生剧烈褶皱。音效: Low frequency rumble, tense atmosphere, faint fabric rustling."
"101","没想到宋绫雪得知后却不屑道，能打过我，再论嫁娶。","能打过我，再论嫁娶。","5","","宏大的唐式建筑内景。朱红色漆木大柱，房梁满布彩绘。大厅中央是一张红木圆桌，摆放着越窑青瓷。背景是巨大的淡墨山水屏风。数十盏红色落地宫灯洒下暖橙色灯光，与地面黑色大理石的倒影相映。请输入环境视觉描述...","Shot 1:
duration: 5.0sec
Scene: [Low Angle, Subjective Point of View, Slow Zoom In] 画面瞬间被室外早晨的强烈阳光充满，硬切至空旷的演武场。高高的木质擂台上，宋绫雪身穿利落的劲装，单手将一把未出鞘的长剑背在身后。宋绫雪下巴微抬，以极其轻蔑的眼神俯视着镜头。早晨的阳光从宋绫雪背后直射而来，在身形边缘勾勒出一圈凌厉的轮廓光。微风扬起擂台表面的细微沙尘，吹动宋绫雪的衣角，沉重的剑鞘与衣物边缘发生轻微的物理碰撞。音效: Sudden bright ambient tone, wind sweeping across the wooden stage, fabric rustling.

Shot 2:
duration: 3.5sec
Scene: [Medium Close-up, Static] 镜头聚焦宋绫雪居高临下的姿态。宋绫雪站在擂台边缘，背后是宏大唐式建筑的朱红飞檐与清晨的天空。刺眼的阳光穿透空气中漂浮的尘粒，形成清晰的光束。宋绫雪握着长剑的手指有节奏地敲击着剑鞘，剑鞘表面在阳光下反射出冷峻的微光，震动感传导至手腕。宋绫雪嘴唇微启，吐出拒婚之词，强大的气场仿佛使得周遭的空气都凝滞，展现出对高度与武力的绝对掌控。音效: Rhythmic tapping on sword sheath, faint echo of speech, soft morning breeze."
"102","宋绫雪习武天资高已不是秘密，但广云王从没想到竟会这么高，仅仅出了两招就轻易赢了赵继昌。","","7","","宽阔的汉白玉广场。四周插着绘有金色纹章的红旗，在寒风中猎猎作响。场边陈列着一排排精致的唐代长槊与横刀。地面覆盖着一层薄薄的白雪，中心处有因重击产生的裂纹，场景肃杀，对比度高。","Shot 1:
duration: 3.5sec
Scene: [Medium Shot, Slow Motion, Fast Tracking] 宽阔的汉白玉广场上，寒风卷起地面的薄雪，背景中绘有金色纹章的红旗猎猎作响，光影肃杀且对比度极高。赵继昌身穿华丽笨重的红甲，暴怒跃向半空，猛力挥动兵器砸向宋绫雪。宋绫雪身形轻盈，极其飘逸地向侧方滑步闪避。赵继昌笨重的身躯踏起地面的冰雪，宋绫雪衣袂卷起的微风让雪花在空中缓慢旋转。音效: Heavy armor clanking, deep low-frequency swoosh.

Shot 2:
duration: 2.5sec
Scene: [Close-up to Medium Shot, Under-cranking, Whip Pan] 高对比度的肃杀光影下，汉白玉地面的薄雪被强劲的冲击气流猛烈向外推开。宋绫雪手臂骤然发力，带鞘的长剑在半空中划出凌厉的残影，以极其干净利落的招式重重抽中赵继昌胸口的铠甲。剑鞘与赵继昌胸前的护心镜剧烈碰撞，护心镜瞬间大面积碎裂，金属碎片伴随爆开的白色雪粉向四周高速飞溅。音效: Sharp metal cracking, deafening impact thud.

Shot 3:
duration: 3.0sec
Scene: [Wide Shot, Tracking, Action Cut] 镜头跟随坠落抛物线快速移动，掠过场边陈列的一排排精致长槊与横刀。赵继昌在空中失去平衡，划出狼狈的轨迹，最终重重砸在满是裂纹的汉白玉台下地面上。擂台中央的宋绫雪依然保持单手持带鞘长剑背在身后的姿势，身姿纹丝不动。赵继昌落地时沉重且破损的红甲与石面剧烈砸击，激起一圈厚重的雪粉尘雾，一旁的红旗在冲击波下狂乱飞舞。音效: Heavy body hitting the stone floor, armor shattering, howling wind."
"103","令千金这武道造诣，距离宗师境不远了","令千金这武道造诣，距离宗师境不远了","5","","宽阔的汉白玉广场。四周插着绘有金色纹章的红旗，在寒风中猎猎作响。场边陈列着一排排精致的唐代长槊与横刀。地面覆盖着一层薄薄的白雪，中心处有因重击产生的裂纹，场景肃杀，对比度高。","Shot 1:
duration: 8.0sec
Scene: [Medium OTS Shot, Rack Focus] 镜头从倒在薄雪覆盖的汉白玉地面上的赵继昌背部越过，赵继昌因重击痛苦地轻微抽搐，身侧是醒目的汉白玉裂纹。焦点迅速从前景的赵继昌转移到中景的广云王脸上。广云王身形极其沉稳，低头冷漠地瞥了一眼脚下的赵继昌，双手未伸出搀扶。高对比度的肃杀光影下，广云王半张脸隐于阴影中，缓缓抬头，眯起眼睛看向画外擂台方向，嘴角勾起一丝不达眼底的笑意，眼神透出毒蛇盯上猎物般的贪婪与算计。广云王抬起双手，以极其沉稳的节奏缓慢鼓掌，每一次击掌震开空中飘落的雪花，寒风卷起地面的雪沫，吹动四周绘有金色纹章的红旗猎猎作响。音效: Howling cold wind, rustling flags, slow and rhythmic clapping."
"104","王爷过奖，还需多加磨炼，宋通海微微摇头，眼中却掩饰不住的满意。","王爷过奖，还需多加磨炼","6","","宽阔的汉白玉广场。四周插着绘有金色纹章的红旗，在寒风中猎猎作响。场边陈列着一排排精致的唐代长槊与横刀。地面覆盖着一层薄薄的白雪，中心处有因重击产生的裂纹，场景肃杀，对比度高。","Shot 1:
duration: 6.0sec
Scene: [Close Up, Slow Zoom In] 背景是虚化的主看台汉白玉栏杆，带有金色纹章的红旗在寒风中剧烈翻滚。画面色调由冷转暖，一缕温暖的冬日阳光斜照在宋通海脸上。宋通海端坐在看台座椅上，面向广云王的方向微微摇头，宋通海脸上挂着克制且客套的社交微笑。随后宋通海缓缓抬起手抚摸胡须，手指在触碰胡须时出现极其轻微的颤抖，眼角挤出深深的笑纹，目光注视着远处的擂台，眼神中透出骄傲的光芒。寒风吹动宋通海外袍的边缘，细小的雪粒在阳光光束中折射出微光。音效: Wind howling, flags flapping loudly, subtle fabric rustling."
"105","如今二女儿已入仙门，他身边就这么个大女儿，根本没有想过要她嫁出去，广云王的联姻，他从来没有考虑过。","","7","","宽阔的汉白玉广场。四周插着绘有金色纹章的红旗，在寒风中猎猎作响。场边陈列着一排排精致的唐代长槊与横刀。地面覆盖着一层薄薄的白雪，中心处有因重击产生的裂纹，场景肃杀，对比度高。","Shot 1:
duration: 7.0sec
Scene: [POV, Shallow Depth of Field, Slow Push-in] 宽阔的汉白玉广场上，寒风吹动地面的薄雪，卷起细微的白霜。在宋通海的主观视角下，前景中广云王与周围宾客的身影被极度虚化。镜头缓慢向前推进，越过模糊的人群，焦点精准锁定在正走下擂台的宋绫雪身上。宋绫雪神态放松，步伐轻盈，抬起手轻轻擦拭额头的细汗。随着她的动作，衣袖与发丝在寒风中微微飘拂，周遭模糊肃杀的环境与她清晰的身影形成强烈对比。音效: Wind howling softly, rustling flags, distant murmurs fading out."
"106","本以为事情就此结束，没想到广云王却突然话锋一转，不过你家那只凤，似乎被不少人盯上了，幻灵宗真传下山的消息，四方诸国都已经开始流传，随后广云王轻声说了句奇怪的话，雏凤身边有护道之人，你们宋府可没有仙家坐镇。","不过你家那只凤，似乎被不少人盯上了，幻灵宗真传下山的消息，四方诸国都已经开始流传，随后广云王轻声说了句奇怪的话，雏凤身边有护道之人，你们宋府可没有仙家坐镇。","23","","宽阔的汉白玉广场。四周插着绘有金色纹章的红旗，在寒风中猎猎作响。场边陈列着一排排精致的唐代长槊与横刀。地面覆盖着一层薄薄的白雪，中心处有因重击产生的裂纹，场景肃杀，对比度高。","Shot 1:
duration: 4.0sec
Scene: [Dutch Angle, Medium Shot, Dolly In] 汉白玉广场上寒风卷起薄雪，四周红旗猎猎作响，天空乌云翻腾。广云王突然跨步上前，逼近宋通海，高大的身躯瞬间占据画面的大半部分。广云王跨步带起的劲风吹散地面的雪末，大氅边缘飞舞，阳光被他的身躯完全遮挡，沉重的阴影瞬间笼罩宋通海的面部，构图发生剧烈倾斜。音效: Heavy footstep, cloth rustling, wind howling.

Shot 2:
duration: 4.0sec
Scene: [Dutch Angle, Extreme Close-up, Static] 压抑的阴影中，背景的金色纹章红旗在寒风中模糊飘动。广云王微微侧头，贴近宋通海的耳边，嘴唇微动，压低声音说话。广云王呼出的白气在冰冷的空气中迅速凝结，直接扑在宋通海僵硬的侧脸上，两人物理距离极近，空气中弥漫着窒息的压迫感。音效: Ominous whispering, low-frequency rumble, chilling wind."
"107","宋通海没有答话，仿佛是受到了惊吓。","","3","","宽阔的汉白玉广场。四周插着绘有金色纹章的红旗，在寒风中猎猎作响。场边陈列着一排排精致的唐代长槊与横刀。地面覆盖着一层薄薄的白雪，中心处有因重击产生的裂纹，场景肃杀，对比度高。","Shot 1:
duration: 4.0sec
Scene: [Medium Shot to Extreme Close Up, Snap Zoom] 汉白玉广场上寒风呼啸，几片薄雪随风卷过，高对比度的逆光打在宋通海的面部。镜头快速推近，直接怼到宋通海脸上。宋通海猛地僵在原地，瞳孔瞬间放大。寒风吹动宋通海的发丝，额头上迅速渗出细密的冷汗，汗珠在逆光下闪烁，宋通海的眼球因惊恐而微微颤抖，急促的呼吸在冷空气中化作一团团白雾。音效: Sudden whoosh, heavy and fast breathing, wind howling.

Shot 2:
duration: 4.0sec
Scene: [Extreme Close Up, Slight Handheld Tremor] 冷冽的光影死死压在宋通海的面部，背景中绘有金色纹章的红旗在寒风中被极度虚化。宋通海一言不发，眼神中流露出极度的惊恐，完美演绎出凡人面对仙门降维打击时的无力感。一颗饱满的冷汗从宋通海额头滑落，流经眼角，在肌肤上留下一道清晰的水痕，随着宋通海沉重的呼吸，气流不断喷出化作白雾消散在冰冷的空气中。音效: Heartbeat thumping, faint flag fluttering, tense silence."
"108","广云王淡淡一笑，如有麻烦可传书于我，至少大周境内，还没有人敢动赵氏皇亲，说完迈步走出宋府。","如有麻烦可传书于我，至少大周境内，还没有人敢动赵氏皇亲","10","","宽阔的汉白玉广场。四周插着绘有金色纹章的红旗，在寒风中猎猎作响。场边陈列着一排排精致的唐代长槊与横刀。地面覆盖着一层薄薄的白雪，中心处有因重击产生的裂纹，场景肃杀，对比度高。","Shot 1:
duration: 4.0sec
Scene: [Wide Low Angle, Static] 宽阔的汉白玉广场上，四周绘有金色纹章的红旗在寒风中猎猎作响。广云王嘴角勾起得意的淡笑，猛地转过身去。广云王身后红金色的披风在空中划过一道嚣张的弧度，强劲的动作卷起地面上一层薄薄的白雪，在半空中飞舞。高对比度的阴沉光影笼罩着肃杀的庭院。音效: 寒风呼啸声，布料剧烈摩擦的猎猎声。

Shot 2:
duration: 6.0sec
Scene: [Wide Low Angle, Static] 镜头保持静止不随人物移动。广云王大步向前，两侧装备精致唐代长槊与横刀的卫兵队伍紧随其后。卫兵的步伐整齐划一，沉重的军靴踏在铺着薄雪的汉白玉石板上，扬起阵阵雪末。卫兵队伍如潮水般浩浩荡荡地走出画框边缘，退出宋府大门。天空乌云逐渐散去，一束阳光重新照进院子，打在广场中心因重击产生的巨大裂纹上，留下空旷而死寂的阴霾氛围。音效: 整齐划一的军队脚步声，金属铠甲沉重的摩擦声，风吹红旗的猎猎声。"
"109","可奇怪的是，当宋通海将广云王送走后，原先的惊慌竟全部散去，冷着脸回了书房。","","6","","请输入宏大而宁静的唐式书斋。室内由深褐色的名贵楠木构成框架，地板擦拭得光亮如镜，倒映着室内的陈设。正中是一张巨大的黑漆描金长条书案，案上整齐摆放着端溪名砚、白瓷笔洗以及一叠叠用丝绸裹挟的古老卷轴。背景是一面通体顶天的多宝阁书架，堆满了密集的卷轴与精美的唐三彩瑞兽摆件。左侧有一扇巨大的直棂窗，半透明的绢布窗纸透入柔和的晨曦，光影中细小的金粉颗粒翩翩起舞。墙上悬挂着气势磅礴的狂草书法挂轴。一尊青铜博山炉正缓缓升起袅袅青烟，形成梦幻的淡蓝色烟雾线条。整体色调以沉稳的墨棕与朱红为主，点缀着金色的流光，氛围庄重且极具深度。环境视觉描述...","Shot 1:
duration: 8.0sec
Scene: [Close-Up to Tracking] 宋府厚重的木门缓缓合上，门外明亮的光线逐渐被切断，阴影随之爬上宋通海的脸庞。伴随大门彻底闭合，宋通海额头上还挂着细密的冷汗，原本惊慌失措的表情犹如潮水般退去，面部肌肉瞬间绷紧，双眼透出如深渊般冰冷且充满杀意的目光。紧接着，宋通海猛地转身，长袍下摆在空气中扬起一道冷硬的弧线，带起一阵微弱的气流。镜头紧紧跟随宋通海的背影，记录宋通海大步走入幽暗深邃的木质走廊，朝着深褐色的唐式书斋方向前进，走廊两侧的青铜博山炉正缓缓升起袅袅淡蓝色烟雾。音效: Heavy wooden door slamming shut with a loud 'bang', fabric swishing, heavy footsteps echoing in the dim corridor."
"110","宋绫雪见父亲脸色难看，一时间有些不解，爹爹为何要动怒？","爹爹为何要动怒？","5","","请输入宏大而宁静的唐式书斋。室内由深褐色的名贵楠木构成框架，地板擦拭得光亮如镜，倒映着室内的陈设。正中是一张巨大的黑漆描金长条书案，案上整齐摆放着端溪名砚、白瓷笔洗以及一叠叠用丝绸裹挟的古老卷轴。背景是一面通体顶天的多宝阁书架，堆满了密集的卷轴与精美的唐三彩瑞兽摆件。左侧有一扇巨大的直棂窗，半透明的绢布窗纸透入柔和的晨曦，光影中细小的金粉颗粒翩翩起舞。墙上悬挂着气势磅礴的狂草书法挂轴。一尊青铜博山炉正缓缓升起袅袅青烟，形成梦幻的淡蓝色烟雾线条。整体色调以沉稳的墨棕与朱红为主，点缀着金色的流光，氛围庄重且极具深度。环境视觉描述...","Shot 1:
duration: 6.0sec
Scene: [Medium Two-Shot, Slow Dolly In] 阴暗的唐式书斋内，光线极度微弱，整体色调呈现压抑的冷青色与暗灰色。几缕阳光穿透直棂窗的缝隙，照射在光亮如镜的地板上，青铜博山炉升起的淡蓝色烟雾在光柱中缓缓飘动。宋绫雪站在门边，双手将厚重的木门推拢，门扇合拢的瞬间，室内光线骤然下暗。宋通海背对镜头站在巨大的黑漆描金长案前，半个身子隐没在浓重的阴影中，身形僵硬。宋绫雪转过身，视线落在宋通海铁青的侧脸上，眉头微蹙，眼神中流露出女儿态的不解与担忧。她微微偏头，衣摆随之拂动，带起一抹微弱的丝绸反光，扰乱了空气中的烟雾线条。音效: Heavy wooden door closing with a dull thud, faint room reverberation, soft rustling of silk fabric."
"111","然而宋通海的面色却更冷了，广云王这是以势相逼，想迫使我将你嫁给他儿子。","广云王这是以势相逼，想迫使我将你嫁给他儿子。","8","","请输入宏大而宁静的唐式书斋。室内由深褐色的名贵楠木构成框架，地板擦拭得光亮如镜，倒映着室内的陈设。正中是一张巨大的黑漆描金长条书案，案上整齐摆放着端溪名砚、白瓷笔洗以及一叠叠用丝绸裹挟的古老卷轴。背景是一面通体顶天的多宝阁书架，堆满了密集的卷轴与精美的唐三彩瑞兽摆件。左侧有一扇巨大的直棂窗，半透明的绢布窗纸透入柔和的晨曦，光影中细小的金粉颗粒翩翩起舞。墙上悬挂着气势磅礴的狂草书法挂轴。一尊青铜博山炉正缓缓升起袅袅青烟，形成梦幻的淡蓝色烟雾线条。整体色调以沉稳的墨棕与朱红为主，点缀着金色的流光，氛围庄重且极具深度。环境视觉描述...","Shot 1:
duration: 6.0sec
Scene: [Close-up, Slow Dolly In] 唐式书斋内，一侧直棂窗透入极高对比度的侧光，细小的灰尘在光柱中缓缓浮动。背景是完全黑暗的巨大多宝阁书架，宛如吞噬一切的深渊。宋通海转过身，身躯犹如一座挡在阴影前的山塔。宋通海面沉如水，半张脸被强烈的光线照亮，另半张脸完全隐没在浓重的黑暗中，脸上的阴影如刀刻般深邃。镜头缓慢推近，压迫感逐渐增强，宋通海微微抬眼，眼神如冰刀般锐利，不带一丝温度，冷冷地凝视着前方。宋通海呼吸带起的微弱气流让青铜博山炉飘散过来的淡蓝色青烟发生了轻微的扭曲，烟雾在光柱中翻滚碎裂。沉重的衣袖随着宋通海的转身动作摩擦，产生细微的褶皱变动。音效: Low-frequency ambient rumble, subtle rustling of heavy fabric."
"112","宋绫雪忍不住皱眉，实在不行，我便嫁入王府，不管怎样都是要成亲的。","实在不行，我便嫁入王府，不管怎样都是要成亲的。","8","","请输入宏大而宁静的唐式书斋。室内由深褐色的名贵楠木构成框架，地板擦拭得光亮如镜，倒映着室内的陈设。正中是一张巨大的黑漆描金长条书案，案上整齐摆放着端溪名砚、白瓷笔洗以及一叠叠用丝绸裹挟的古老卷轴。背景是一面通体顶天的多宝阁书架，堆满了密集的卷轴与精美的唐三彩瑞兽摆件。左侧有一扇巨大的直棂窗，半透明的绢布窗纸透入柔和的晨曦，光影中细小的金粉颗粒翩翩起舞。墙上悬挂着气势磅礴的狂草书法挂轴。一尊青铜博山炉正缓缓升起袅袅青烟，形成梦幻的淡蓝色烟雾线条。整体色调以沉稳的墨棕与朱红为主，点缀着金色的流光，氛围庄重且极具深度。环境视觉描述...","Shot 1:
duration: 6.5sec
Scene: [Over-the-Shoulder Shot, Focus Pull] 越过宋通海隐没在阴影中的肩膀拍摄。唐式书斋内沉稳的墨棕色调弥漫，左侧直棂窗透入一道冷白色的光束，空气中悬浮的细小尘埃颗粒在光柱中如同飞蛾扑火般无序盘旋。镜头焦点平滑地从前景推至后景的宋绫雪身上。宋绫雪置身于昏暗的边缘，紧皱眉头，神情中褪去了骄傲，透出一种无奈与认命的沉重感。她缓缓向前跨出一步，身体彻底从阴影踏入那束冷白光之中。随着她的步伐，衣摆在空气中划出轻微的弧度，鞋底踏在光亮如镜的楠木地板上，地板表面清晰地倒映出她步入光芒的身影。不远处的青铜博山炉中升腾起的淡蓝色烟雾，也因她迈步带起的微风而产生轻微的涡流扰动。音效: Subtle fabric rustling, solitary slow footstep on wooden floor, faint ambient drone."
"113","怎料宋通海却冷哼一声，你当王府是什么好去处，若真有仙宗要动我宋家，他广云王敢放个屁！","你当王府是什么好去处，若真有仙宗要动我宋家，他广云王敢放个屁！","10","","请输入宏大而宁静的唐式书斋。室内由深褐色的名贵楠木构成框架，地板擦拭得光亮如镜，倒映着室内的陈设。正中是一张巨大的黑漆描金长条书案，案上整齐摆放着端溪名砚、白瓷笔洗以及一叠叠用丝绸裹挟的古老卷轴。背景是一面通体顶天的多宝阁书架，堆满了密集的卷轴与精美的唐三彩瑞兽摆件。左侧有一扇巨大的直棂窗，半透明的绢布窗纸透入柔和的晨曦，光影中细小的金粉颗粒翩翩起舞。墙上悬挂着气势磅礴的狂草书法挂轴。一尊青铜博山炉正缓缓升起袅袅青烟，形成梦幻的淡蓝色烟雾线条。整体色调以沉稳的墨棕与朱红为主，点缀着金色的流光，氛围庄重且极具深度。环境视觉描述...","Shot 1:
duration: 4.0sec
Scene: [Medium Shot, Static Camera] 镜头对准深褐色楠木书案后的宋通海，背景是堆满卷轴与唐三彩瑞兽的多宝阁书架。左侧直棂窗透入一道明亮的柔和晨曦光柱，光柱中细小的金粉颗粒翩翩起舞。宋通海面露极度不屑的嘲讽冷笑，突然猛地抬起手臂，粗暴地向前挥舞。他宽大的衣袖带起强烈的气流，手臂充满力量感地硬生生劈开那道光柱，光柱中的金粉颗粒被气流瞬间剧烈搅乱，宛如彻底击碎了某层脆弱的幻象。案上光亮如镜的白瓷笔洗倒映着这一动作，边缘的一叠丝绸卷轴被风势掀起一角，一旁博山炉升起的淡蓝色梦幻青烟也被气流生生切断并吹散。音效: Heavy fabric swoosh, sharp scornful scoff."
